itemLabel,areaLabel,partyLabel
Mary Paul Ngundeng,Unity,SPLM
Puok Bol Mut,Unity,SPLM
Innocent Lazarus Latjor,Unity,SPLM
Tereza Gabriel Gatluak,Unity,SPLM
Domai Gatpan Kulang,Unity,SPLM
Malek Cook Dwach,Unity,SPLM
Simon Gatuak Pech Dak,Unity,SPLM
Peter Makuoth Malwal,Unity,SPLM
Wait John Dek Chol,Unity,SPLM
Mathew Mathiang,Unity,SPLM
Salwa Bakony Mantuil,Unity,SPLM
Martha Nyathir Chuol,Unity,SPLM-IO
Anna Samuel Pam,Unity,SPLM-IO
Michael Mout Diu,Unity,SPLM-IO
Martin Mabil Kong,Unity,SPLM-IO
Peter Chabak Gatluak,Unity,SPLM-IO
Kwong Dak Wie,Unity,SPLM-IO
Stephen Bol Leay,Unity,SPLM-IO
Tina Bol Kaimai,Unity,SPLM-IO
Mary Kongkong James,Unity,SPLM-IO
Nyabuony Bol Wuor,Unity,SPLM-IO
James Mabor Gatkuoth Nyak,Unity,SPLM-IO
Faruok Gatkuoth Kam,Unity,SPLM-IO
Peter Gatkouth Thot Bakam,Unity,SSOA
Tungchuei Manytuil Wijang,Unity,SSOA
William Kuh Kal Tot,Unity,SSOA
Both Tour Manmie Biel,Unity,SSOA
Samuel Mabeny Gatjiek,Unity,SSOA
Agnes Kaya Nyuol,Unity,SSOA
James Nen Thoat,Unity,OPP
Badit Dak Wie,Unity,OPP
Kur Bangoang Jock,Unity,National Agenda
Deng Unyo Demey,Upper Nile,SPLM
Deng Goc Aleu,Upper Nile,SPLM
Akot Dau Nyok,Upper Nile,SPLM
Asha Abdel Salam Awad,Upper Nile,SPLM
Elia Ulan Jongo,Upper Nile,SPLM
Areng Kur Akol Ding,Upper Nile,SPLM
Deng Chol Deng,Upper Nile,SPLM
Fantana Kur Chol,Upper Nile,SPLM
Andrea Maya Felio,Upper Nile,SPLM
Martha Atong Mansour,Upper Nile,SPLM
Abuk Payiti Ayik,Upper Nile,SPLM
William Othwan Awer,Upper Nile,SPLM
Mary Nyawal Chol,Upper Nile,SPLM
Henry Omai Akolawin,Upper Nile,SPLM
John Mayual Nguot,Upper Nile,SPLM
Ali Adian Nour El Deen,Upper Nile,SPLM
James Ret Gony,Upper Nile,SPLM
Mat Ruon Wur,Upper Nile,SPLM
Gatluak Riek Jaak,Upper Nile,SPLM
John Gai Yoh,Upper Nile,SPLM
James Kueth Chol,Upper Nile,SPLM
Lidia John Jock,Upper Nile,SPLM
Simon Kun Puoc,Upper Nile,SPLM
Rebecca Joshua Okwaci,Upper Nile,SPLM
Cecilia Achuil Matthew,Upper Nile,SPLM
Martha Matin Dar,Upper Nile,SPLM
Rebecca Nyatew Dang,Upper Nile,SPLM
Peter Hoth Kuach,Upper Nile,SPLM
Elijah Liech Bany,Upper Nile,SPLM
Bol Puot Yut,Upper Nile,SPLM
Margret Joel Barnaba,Upper Nile,SPLM
James Hoth Mai,Upper Nile,SPLM
Wie Kuol Khornyang,Upper Nile,SPLM-IO
Peter Charman Cikuach,Upper Nile,SPLM-IO
John Jock Jakyom,Upper Nile,SPLM-IO
Gatwech Lam Puoch,Upper Nile,SPLM-IO
Lieth Muoch Tang,Upper Nile,SPLM-IO
